Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"A to nie je špekulácia, ale z toho objemu, ktorý Slovensko dáva z eurofondov na dotovanie miest pre mladých, by sa dali vytvoriť štyrikrát tak rozsiahle pracovné kapacity.";Neoveritelné;"Na dotovanie miezd bolo poslednom kole programu na podporu zamestnanosti mladých absolventov vyčlenených cca. päť miliónov eur zo štátneho rozpočtu. Táto suma však predstavuje len časť celkového rozpočtu programu, pretože ďalších takmer 70 miliónov eur má byť čerpaných z eurofondov. Množstvo pr";;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Klesá verejný dlh z 55 na 54 %?";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"Vy ste boli vo vláde v rokoch 2010-2012 a takto išiel plyn hore, ako raketa, ako raketa, lebo ste nevyužívali v žiadnom prípade regulačné rámce.";Pravda;"Podobné výroky R. Fica týkajúce sa cien plynu sme už v minulosti overovali niekoľkokrát, pričom sme zistili, že išlo o zavádzanie, resp. nepravdu. V tomto prípade však R. Fico uvádza správne, ak tvrdí, že za vlády I. Radičovej v rokoch 2010-2012 ceny plynu rástli. Eurostat dokumentuje ceny ener";;;"Robert Fico";"SMER - sociálna demokracia"
"Pokiaľ ide o balíček ako taký, my sme odhadli jeho dopady, na celý, ako celý balíček na úrovni okolo 250 miliónov eur";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"...ste boli vo vláde, od roku 1998 ste boli vo vláde do roku 2006, potom ste boli v roku 2010-2012, ešte predtým ste boli vo všelijakých koalíciách pred pánom Mečiarom (KDH, pozn.)";Pravda;"Podľa informácií Úradu vlády Slovenskej republiky v sekcii História vlád a podľa správy SITA, ktorá zostavila rebríček vládnych koalícii a  vlád na Slovensku boli od roku 1990 tieto vlády:1990- prvé slobodné a demokratické voľby, vládu vytvorila koalícia VPN, KDH, DS. Predsedom vlády sa st";;;"Robert Fico";"SMER - sociálna demokracia"
"Dúfam, že pán predseda KDH uzná tu verejne, že keď ste v roku 2012 skončili a ste nám odovzdávali vládu, že neexistovali žiadne informácie o daniach v tomto štáte, bol úplne rozbitý daňový systém.";Nepravda;"Za začiatku roku 2012 na pri nasadzovaní nového informačného systému daňovej správy vyskytli veľké problémy, pretože systém KONS fungoval len v obmedzenej forme a hlásil veľa chýb. Po tom, čo sa systém ukázal byť nefunkčný sa Finančné riaditeľstvo 19. apríla 2012 vrátilo k starému systému a daňový s";;;"Robert Fico";"SMER - sociálna demokracia"
"Čo sa týka tejto novely (zákon o verejnom obstarávaní, konkrétne schránkové firmy, pozn.), my sme tam žiadali, aj chceme, aby boli riešené aj konkrétnejšie súvislosti, ktoré dovedú pri verejnom obstarávaní ku konečnému užívateľovi výhod. To je ten model, ktorý má napríklad Švajčiarsko, že sa dozvieme osoby, mená. A isteže, nech sa koná podľa zákona, ale nech to nie je nejaký P.O.BOX a neznáma schránka, lebo väčšinou ide o nejakú nekalosť, ak je to tak, ak je problém zverejniť, kto je za tým.";Nepravda;"Ján Figeľ a i ďalší poslanci KDH síce 24. apríla 2014 prišli s Návrhom zákona o ochrane subdodávateľov pri verejnom obstarávaní a o zmene a doplnení niektorých zákonov v znení neskorších predpisov a taktiež pri schvaľovaní Vládneho návrhu zákona, ktorým sa mení a dopĺňa zákon č. 25/2006 Z. z. o vere";;;"Ján Figeľ";"Kresťanskodemokratické hnutie"
"Téma boja proti netransparentnému konaniu, proti korupcii, je téma, ktorá ide 25 rokov od roku 1989";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"Urobili sme aj ďalšie veľmi vážne rozhodnutia v tej bežnej legislatíve.";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"Bez Smeru-Sociálnej demokracie, bez vlády, by nedošlo k tej takzvanej harabinizácii alebo deharabinizácii, pretože urobili sme jasné personálne rozhodnutia, pokiaľ ide o Súdnu radu.";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"Ja by som bol nerád a zopakujem to aj tuná pred pánom predsedom Kresťanskodemokratického hnutia, aby niekto povedal, že téma boja proti korupcii alebo téma netransparentnosti vznikla za posledné tri, štyri týždne, toto je 25-ročná téma.";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"Ak sa napr. starší pán cíti ako žena, má mať právo na vstup do ženských toaliet ako i šatní na školách či vo verejných bazénoch (zákonné v Kalifornii).";Zavádzajúce;"Výrok hodnotíme ako zavádzajúci, nakoľko v Kalifornii je možnosť výberu toaliet či šatní bez ohľadu na pohlavie legálna, avšak vzťahuje sa iba na žiakov základných a stredných škôl.Od 1. januára 2014 je v Kalifornii účinný zákon, ktorý umožňuje žiakom na základných a stredných školách v Kalifornii v";;;;
"V SR je denne 25 detí utýraných na smrť potratom, čo je najčastejšia príčina úmrtnosti.";Neoveritelné;"Demagog.SK má presné čísla len o legálnych potratoch (7 999 v roku 2013), ktoré hovorí o 22 potratoch denne. Národné centrum zdravotníckych informácií však evuduje aj kategóriu ""ostatné"" (2 750 v roku 2013), kde patria nielen potraty v dôsledku patologického tehotenstva, ale aj nelegálne p";;;;
"Pred 30 rokmi sa legalizovali rozvody a dnes sa takmer polovica manželstiev rozvádza.";Neoveritelné;"Na základe zákona o rodine z roku 1949, ktorý povoľoval rozvody na území Československa ";;;;
"...teraz sme prijali druhý zákon, ktorý hovorí o tom, že ako náhle niekde firma má svoj koniec ten základ niekde v schránkovej firme, takáto firma sa nikdy nemôže už zúčastniť verejného obstarávania na Slovensku.";Neoveritelné;"V novele zákona o verejnom obstarávaní je stanovené, že v právnických osobách, teda firmách sa musia preukázať fyzické osoby s kvalifikovanou účasťou, teda s aspoň 10 % priamym alebo nepriamym podielom a základnom imaní firmy. Daňové raje často nemajú verejne dostupné registre umožňujúce preukázať,";;;"Robert Fico";"SMER - sociálna demokracia"
"Verejný dlh klesá...";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"...my sme využili štandardné ustanovenie, ktoré v zmluve (zmluve o prenájme vodného diela Gabčíkovo, pozn.) jednoducho je napísané, že my môžeme vypovedať túto zmluvu z určitých dôvodov.";Neoveritelné;"Zmluva o prenájme Vodnej elektrárne Gabčíkovo nie je verejne dostupná, nepodarilo sa nám preto zistiť ako sú nastavené podmienky pre jej vypovedanie. Výrok preto označujeme za neoveriteľný.Správa o aktuálnom stave prevádzkových vzťahov na Vodnej elektrárni Gabčíkovo vlády Slovenskej republiky uvádza";;;"Robert Fico";"SMER - sociálna demokracia"
"Všetky príjmy z Vodnej elektrárne Gabčíkovo sa delia pomerom 65:35. 35% z týchto príjmov berie spoločnosť Slovenské elektrárne, teda talianske elektrárne, lebo sú sprivatizované.";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"...už ďalej čakať a vláda Slovenskej republiky požiadala ministra životného prostredia, aby túto zmluvu vypovedal s tým, že v marci 2015 Slovenská republika bude mať 100% pod kontrolou túto Vodnú elektráreň Gabčíkovo.";Neoveritelné;;;;"Robert Fico";"SMER - sociálna demokracia"
"tento rok sme zverejnili, respektíve umožnili sme to, že nie je daňovým tajomstvom mať informáciu o tom, ktorá firma aké dane platí.";Nepravda;"V roku 2013 bola v NR SR schválená novela zákona o správe daní (daňový poriadok), s účinnosťou od 1. januára 2014. S účinnosťou od 01. januára 2014 sa rozširuje definícia toho, čo sa nepovažuje za porušenie daňového tajomstva. Porušením daňového tajomstva už nie je napríklad oznámenie mena, priezvis";;;"Peter Kažimír";"SMER - sociálna demokracia"
"Napríklad v Amerike každá štvrtá spoločnosť za štyri roky od vzniku jednoducho zanikne";Nepravda;"Výrok hodnotíme ako nepravdivý, keďže rôzne dostupné zdroje hovoria o oveľa väčších číslach ako Ivan Švejna. Článok na TREND.sk hovorí o tom, že v USA do dvoch rokov padne každá tretia firma. Server ipodnikatel.cz zase uvádza, že z novozaložených malých firiem v USA hneď do roka skrachuje celých 40";;;"Ivan Švejna";"MOST-HÍD - az együttműködés pártja – strana spolupráce"
"som v kontakte s ministrom Babišom a musel som mu na základe našich diskrétnych informácií oznámiť, že časť našich podnikateľov sa naozaj chystá do Českej republiky alebo sa už dokonca presťahovali, len to sú veľmi problematickí daňovníci";Neoveritelné;;;;"Peter Kažimír";"SMER - sociálna demokracia"
"už dnes máme nemocnice, ktoré v minulosti produkovali dlh, ale teraz posledné dva roky, aj na základe opatrení vlády a rezortu zdravotníctva, sa dostali do čiernych čísiel.";Pravda;"Výrok hodnotíme ako pravdivý, keďže podľa agentúry SITA boli na Slovensku k 22. februáru 2014 štyri ziskové zdravotnícke zariadenia - fakultné nemocnice v Nitre a Žiline a detské fakultné nemocnice v Banskej Bystrici a Košiciach, z ktorých posledné tri menované pred dvoma rokmi ešte produkovali dlh.";;;"Peter Kažimír";"SMER - sociálna demokracia"
"Pán doktor Čižnár mi povedal, rešpektujem tvoje námietky a sťažnosti ústavné. A potom bola téma s jeho prípadnou kandidatúrou a ja som mu povedal, ak rešpektuješ moje námietky, on povedal, rešpektujem ich, lebo to povedal aj potom, keď bol v parlamente, že keď on bude zvolený za generálneho prokurátora a keď Ústavný súd dá za pravdu mne, že boli porušené jeho práva, tak v takomto prípade abdikuje. Ústavný súd však povedal, že on svojim postupom mi práva neporušil.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"A potom je ešte dôležitá jedna vec, nestalo sa v histórii Ústavného súdu Slovenskej republiky to, aby fyzickej osobe takáto suma bola priznaná.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"A tu treba povedať jednu vec, štyri boli dôvody, Ústavný súd to presne všetkými dôvodmi sa zaoberal a všetky štyri dôvody tak ako ich pán bývalý prezident uviedol, odmietol.";Neoveritelné;"Rozhodnutie ÚS v tejto veci nie je dostupné.";;;"Jozef Čentéš";"Bez príslušnosti"
"A jednu vec len k tomuto chcem povedať, že keď som si robil poznámky z toho, ako podrobne pán docent Orosz čítal rozhodnutie senátu Ústavného súdu Slovenskej republiky, tak som zachytil informáciu takú, ak to mám dobre poznamenané, že postup bývalého prezidenta znamená signalizáciu svojvoľného postupu bývalého prezidenta.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
"Taktiež je tam druhá chyba, o ktorej nehovorí pán bývalý prezident, že tam tvrdí, že ja som vypočúval pána Matoviča k okolnostiam voľby generálneho prokurátora. Hrubo zavádzajúci údaj, takýto údaj zavádzajúci odmietam.";Zavádzajúce;;;;"Jozef Čentéš";"Bez príslušnosti"
"To znamená, ja som si potom tú chybu uvedomil (že povedal, že sekretárka neuložila výpoveď Matoviča, no zabudol povedať, že na jeho pokyn, pozn.) a ja som volal, veď to potvrdila aj svedkyňa inžinierka Tekelyová z tlačového oddelenia, že v ten istý deň, povedala to vo svojej výpovedi, treba si pozrieť tie výpovede, a povedala to pani inžinierka Tekelyová, volal mi pán Čentéš, ktorý mi povedal, že on to urobil.";Neoveritelné;;;;"Jozef Čentéš";"Bez príslušnosti"
