Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Pán župan nezaložil krajskú organizáciu cestovného ruchu napriek tomu, že to všetky župy spravili. Prvé, čo spravil, bolo, že zrušil odbor cestovného ruchu, napriek tomu, že iné župy tieto odbory posilnili.";Zavádzajúce;"Je pravdou, že Vladimír Maňka nezaložil krajskú organizáciu cestovného ruchu, rovnako ako aj to, že zrušil odbor cestovného ruchu. Avšak, pravdou už nie je, že všetky kraje na Slovensku krajskú organizáciu založili. Navyše, banskobystrický kraj sa vyjadril, že krajskú organizáciu z dôvodu finančných";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Voči bankám zadĺženosť klesá, ale záväzky sa vyvýjajú horšie (graf). Aj podľa INEKA je župa na tom najhoršie z hľadiska schopnosti plniť si záväzky, platiť svojim dodávateľom.";Pravda;"INEKO v rámci hodnotenia finančného zdravia skúma ako veľmi sú obce zadĺžené - hodnotí jednak dlhovú službu, ale aj celkový dlh. Tie v prípade Banskobystrického kraja skutočne poklesli, čo znamená, že zadĺženosť klesá. Dlhová služba aj celkový dlh sa v roku 2012 znížili oproti roku 2011.Čo sa t";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Celková zadĺženosť podľa zo záverečných účtov od roku 2007 prudko vzrástla. Od zhruba ani nie 20 miliónov na vyše 90 miliónov.";Nepravda;"Podľa záverečného účtu Banskobystrického kraja z roku 2007 (.pdf, s. 56) nám po prepočítaní na eurá vychádza dlh takmer 22 mil. EUR. Toto číslo sme získali ako súčet zostatku nesplatených úverov a istiny, v kapitole Prehľad o stave a vývoja dlhu.Záverečný účet BBSK podľa správy (.pdf, 124) z ro";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"INEKO, ktoré pán Maňka spomínal, vyhodnocuje Banskobystrický kraj ako najmenej zdravý, posledný z hľadiska finančného zdravia. Finančné zdravie sa skladá z 15 položiek, nie len zo vzťahu k bankám.";Zavádzajúce;"BBSK je skutočne hodnotený INEKOm ako posledný podľa kategórie finančné zdravie, táto kategória však má iba 5 indikátorov, a nie 15, ako tvrdí Ľudovít Kaník. Výrok preto označujeme za zavádzajúci.INEKO skutočne vyhodnocuje Banskobystrický samosprávny kraj ako posledný z hľadiska celkového finan";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Veď za tie peniaze (900 tisíc eur za analýzy, pozn.) mohlo byť urobené množstvo iných vecí, a tie európske peniaze mohli byť nasmerované do rozvoja, napríklad do tej sľubovanej cyklotrasy zo Zvolena do Bystrice, nie zo Zvolena do Sliača, ale zo Zvolena do Bystrice, ktorá je sľubovaná dávno a dávno sa tak nerobí.";Neoveritelné;"V článku SME z 9. septembra 2013 sa uvádza, že predseda Banskobystrického kraja Vladimír Maňka (Smer) vyhlásil verejné obstarávanie za takmer 900-tisíc eur na nové strategické materiály, deväť dokumentov, ktoré by mali slúžiť na rozvoj vyššieho územného celku.Medzi strategické dokumenty ma";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Diferencovaný prístup k jednotlivým regiónom. Cesta sa opravila iba v jednom regióne a v druhom sa už nepokračovalo.";Neoveritelné;"Demagog.SK nezistil informácie o ceste, ktorá by sa opravila iba v jednom regióne a v druhom už nie.Po publikovaní výroku Ľudoví Kaník zaslal Demagog.SK fotku (nižšie). Na základe nej však stále nevieme situáciu neutrálne posúdiť, nevieme napríklad zistiť, či je cesta opravená aj opačným smerom, pod";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Podľa Štatistického úradu SR v BB kraji najrýchlejšie rástla nezamestnanosť za druhý kvartál 2013, až o 2,2 %. To je najrýchlejší rast z celého Slovenska.";Pravda;"4. septembra 2013 Štatistický úrad vo svojej správe o nezamestnanosti v 2. štvrťroku 2013 potvrdzuje slová poslanca Kaníka keď uvádza nasledovné:""Miera nezamestnanosti sa medziročne zvýšila vo väčšine krajov, najviac v Banskobystrickom kraji (o 2,2 p. b.).""";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Pán Maňka hovoril pred štyrmi rokmi, a tu citujem jeho rozhovor pre Aktualne.sk, 15. 10. 2009 „Rád by som riešil problémy nezamestnanosti, zlepšenie kvality života, zdravotníctvo.“ Na inom mieste: „Kandidatúru som prijal preto, pretože tento kraj sa neustále trápi s nezamestnanosťou a problémami.“";Pravda;"Ľudovít Kaník interpretuje vyjadrenia Muňka presne. Výroky v tomto zmysle padli v článkoch na aktualne.sk z 15.10.2009.";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Župa má kompetencie zo zákona, jej úlohou je aj bojovať s nezamestnanosťou, len to musí chcieť a vedieť to robiť.";Pravda;"Zákon č. 302/2001 o samospráve vyšších územných celkov zo 4. júla 2001 hovorí, že ""samosprávny kraj sa pri výkone samosprávy stará o všestranný rozvoj svojho územia a o potreby svojich obyvateľov"". Pod kompetencie alebo pôsobnosti samosprávmeho kraja patrí okrem iného aj ""tvorba a plnenie";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"Nezamestnanosť je obrovská stigma tohto kraja a je systematicky buď na chvoste alebo na predposlednom mieste, čo je v zásade úplne jedno, či je o stotinku pred Prešovom alebo za Prešovom.";Pravda;"Podľa viacerých údajov je nezamestnanosť BBSK skutočne povážlivá. Napriek tomu, že nie všetky údaje ukazujú kraj ako posledný, alebo dokonca ani predposledný, výrok hodnotíme ako pravdivý, nakoľko podľa jedného údaja to pravda je.Podľa informácií ÚPSVaRu (Ústredia práce,sociálnych vecí a rodiny) k a";Iné;;"Ľudovít Kaník";"Slovenská demokratická a kresťanská únia - Demokratická strana"
"V STV v správach ma pán Kaník obvinil z tunelovania rozpočtu VÚC, dôvodom je nákup deviatich dokumentov o hospodárskom a sociálnom rozvoji. Ja som na to reagoval, napísal som mu otvorený list a vyzval som ho na duel, lebo už tých klamstiev bolo príliš, a on mi odpovedal znova otvoreným listom, v ktorom píše: „Pán Maňka ma obvinil zo šírenia lži. Naráža na moju výzvu, aby zastavil verejné obstarávanie deviatich analytických materiálov pre BB kraj za takmer 900 tisíc eur. Verím pánovi Maňkovi, že tento nezmyselný záchvat strategického plánovania, ktoré nerobí žiadna iná župa, sa mu za pár mesiacov pred voľbami vysvetľuje veľmi ťažko.“";Pravda;"Je pravdou, že Kaník verejne kritizoval nákup deviatich strategických materiálov za 900 tisíc eur. Kaník sa vyjadril, že materiály sú pochybného účelu. Tiež sa vyjadril, že nákup týchto materiálov považuje za vyťahovanie peňazí z rozpočtu BBSK. Išlo o tlačovú konferenciu, časť výstupu mohla byť aj n";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pán Kaník kritizuje vedenie župy za sumu, za ktorú sa má postaviť časti cyklotrasy Zvolen - Sliač, povedal: „Je to podľa mňa prehnaná suma za budovanie cyklotrasy na tomto mieste“, dodal, že na túto tému chce vystúpiť pred župnými poslancami na ich piatkovom zasadnutí, ktoré už bolo. Pán Kaník pred všetkými poslancami vystúpil, ale nepovedal k tomuto nič, dokonca ani nevyčítal, nekritizoval.";Pravda;"Podľa TASR má byť pripravovaná výstavba cyklotrasy medzi Zvolenom a Sliačom financovaná priamo banskobystrickým samosprávnym krajom (BBSK). Predpokladané náklady sú takmer 633.486 eur.Podľa článku denníka SME:,,Poslanec Národnej rady SR Ľudovít Kaník, ktorý má záujem vystriedať Maňku po novembrových";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Okrem toho pán Kaník zase nehovorí pravdu, hovoril o tom, že ja som v minulej kampani hovoril, že ja znížim nezamestnanosť v našom kraji. Ja som vždy hovoril, že samosprávny kraj nemá dosah na riešenie nezamestnanosti priamy. Ak si pozrieme môj leták z roku 2009, tam som povedal: peniaze z eurofondov pomôžu zvýšiť zamestnanosť v Banskobystrickom kraji. To znamená, že my môžeme pomáhať zvyšovať iba tým, že budeme dobre čerpať peniaze z eurofondov. Druhý druh pomoci je, že budeme naše školstvo rozvíjať tak, aby sa naše deti, keď skončia školy, mohli zamestnať.";Zavádzajúce;"Vladimír Maňka v predvolebnej kampani do VÚC v roku 2009 skutočne v minulosti tvrdil, že otázka zamestnanosti nespadá pod kompetencie župana. Na druhej strane sme našli minimálne dva prípady, v ktorých sa vyjadril v zmysle, že nezamestnanosť zníži. Napriek tomu, že sme nenašli spomínaný leták, tak v";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Banskobystrický kraj jediný zlepšil mieru evidovanej nezamestnanosti na Slovensku zo všetkých krajov o 1,21 percenta od marca 2010 do konca augusta 2013.";Pravda;"Maňka odkazuje priamo na štatistiku evidovanej nezamestnanosti, ktorú vedie Ústredie práce. Vychádzame preto z tejto štatistiky. Na základe štatistických údajov z Ústredia práce, sociálnych vecí a rodiny, ktoré ako jediné na Slovensku vedú štatistiku evidovanej nezamestnanosti, na ktorú sa Maňka pri";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pán Kaník hovorí, že súčasný župan sľuboval vo svojej kampani boj s nezamestnanosťou, znížiť nezamestnanosť sa mu však nepodarilo.";Pravda;"Maňka správne cituje vyjadrenie Kaníka vo volebnom programe na župana BBSK. Ľ. Kaník vo volebnom programe Môj program pre náš kraj uvádza:""Súčasný župan Vladimír Maňka sľuboval vo svojej kampani ako prioritu boj s nezamestnanosťou. Znížiť nezamestnanosť sa mu však nepodarilo.""";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Skúste sa pozrieť v mnohých iných krajoch, kde sú nemocnice zadĺžené a kde vytvárajú dlhy, tieto dlhy sú však vykazované ako záväzky nemocníc, nie ako záväzky krajov. My všetky takéto záväzky máme v našom samosprávnom kraji, čo znamená, účtujeme úplne transparentne všetky naše záväzky.";Neoveritelné;"BBSK skutočne vykazuje dlhy nemocníc ako dlhy krajov, Vladimár Maňka preto na tomto mieste hovorí pravdu. To isté sa dá povedať o minimálne jednom ďalšom kraji na Slovensku - Bratislavskom. Nie sme však schopní overiť či existuje ""mnoho"" krajov, ktoré to takto nerobia, preto výrok označujeme za neov";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Dokonca sme vysporiadali 7 rokov staré dlhy nemocníc a zdravotníctva, s veriteľmi sme dohodli odpustenie úrokov z omeškania, súdnych poplatkov a dokonca aj časti istiny. Dnes už v zdravotnom sektore, ktorý spadá pod náš kraj, nevytvárame ani jedno euro dlhu.";Neoveritelné;"Nepodarilo sa nám žiadne správy o procese vysporiadavania dlhov medzi krajom a verieľmi. Podľa stránky BBSK v súčasnosti spadajú pod jeho pôsobnosť iba dve zdravotnícke zariadenia, ani o jednom z nich sme nezistili informácie o existencii dlhu. Kým niektoré zdravotnícke zariadenia v kraji sú známe a";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pán Kaník hovorí, že aby župa opticky vylepšila svoje hospodárenie, spláca bankové úvery, ale prestáva uhrádzať záväzky voči dodávateľom. Hovorí, že rastie zadĺženosť voči dodávateľom, je to prelievanie peňazí z jedného vrecka do druhého, čo nie je dobrý signál.";Pravda;"Ľudovít Kaník hovorí podobný odkaz aj priamo počas duelu s Vladimírom Maňkom, ktorý ho interpretuje správne:""... Teraz sa pozrime na to, ako sa dosahuje ten pozitívny ukazovateľ a to je, že voči bankám zadlženosť klesá. Vidíme tu, ako sa vyvíjajú bankové úvery,ale vidíme ako sa vyvíja (tou žltou čia";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Ja som vyhral v januári súd, 18 miliónov eur, tam vystupoval záväzok voči firme, ktorá od nás neoprávnene chcela peniaze, na konci roka sa mi škrtnú tieto peniaze a bude to ešte lepšie.";Nepravda;"Je pravdou, že BBSK vyhral súd, na základe ktorého nemusí splácať záväzok voči firme AKUS a.s. Maňka však nemá pravdu v sume, ktorú uvádza - jedná sa o odpustenie 10,3 milióna eur a kraj sa ďalej domáha vrátenia sumy 5,6 milióna od štátu. Aj pokiaľ by sme už pripočítali sumu od štátu, stále to nedáv";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Keď som nastupoval do funkcie, až 6% záväzkov sme nevedeli platiť, dnes sme na hodnote 2%.";Pravda;"Na základe údajov získaných z portálu obce.ineko.sk hodnotíme výrok ako pravdivý.Vladimír Maňka nastupoval do funkcie predsedu BBSK v decembri 2009. Podľa INEKO bola v roku 2010 (POZN.: pred týmto rokom nie sú údaje dostupné) v BBSK výška ""záväzkov aspoň 60 dní po splatnosti"" na úrovn";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Keď som nastupoval do funkcie, finančné zdravie nášho kraja bolo nedostatočné a malo hodnotu -0,1. Na konci minulého roka už sme mali finančné zdravie dostatočné a mali sme hodnotu 0,3.";Nepravda;"Vladimír Maňka nehovorí správne čísla, keď v čase jeho nástupu do funkcie v roku 2009 kraj nemal finančné zdravie -0.1 (resp. 2,9), ale až 3,9, čo je dokonca viac ako počas nasledujúcich rokoch. Výrok preto hodnotíme ako nepravdivý.Momentálne INEKO hodnotí finančné zdravie na škále 0 - 6, avšak";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pán Kaník hovorí, že ekonomické zdravie banskobystrického kraja sa vyvíja negatívne.";Pravda;"Ľudovít Kaník aj v dueli s Maňkom tvrdil, že ""INEKO, (...), vyhodnocuje Banskobystrický kraj ako najmenej zdravý, posledný z hľadiska finančného zdravia"". Tento argument vysvetľuje aj v článku na svojej stránke, podobné Kaníkové tvrdenie priniesli aj Hospodárske noviny.";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pan Kaník hovorí, že zo sľubov Vladimíra Maňku sa nesplnilo takmer nič. Nezamestnanosť stúpla, župa sa výrazne neposunula ani z chvostov rebríčkov chudoby a zadĺženosti.";Pravda;"Ľudovít Kaník skutočne vo svojom programe tvrdí, že ""Zo sľubov Vladimíra Maňku sa nesplnilo takmer nič. Nezamestnanosť nevzrástla, ale stúpla, župa sa výrazne neposunula ani z chvostov rebríčkov chudoby a zadlženosti.""";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Pán Kaník viackrát povedal, že očakáva férovú kampaň. Povedal to aj na rokovaní miestneho zastupiteľstva, a povedal, že preto urobí naozaj všetko.";Neoveritelné;"Nepodarilo sa nám nájsť žiadne vyjadrenie Ľudovíta Kaníka, ani zápisy z rokovania miestneho zastupiteľstva, kde by hovoril o tom, že očakáva férovú kampaň. Výrok hodnotíme ako neoveriteľný, nakoľko nevieme potvrdiť, či skutočne Kaník niečo takéto nepovedal.";Iné;;"Vladimír Maňka";"SMER - sociálna demokracia"
"Ostatne, to bolo aj v našom volebnom programe (bločková lotéria, pozn.), mimochodom, takže ten nápad podporujeme...";Nepravda;"Podpora daňovej lotérie a teda nástroja ako Národná bločková lotéria sa nachádza v programových tézach SDKÚ z novembra 2012, teda po voľbách v roku 2012. Vo volebnom programe na rok 2012 za nástroj daňovej lotérie nenachádza. I. Štefanec neprávne uvádza, že daňová lotéria sa mala nachádza";Iné;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Za posledné dva týždne sme dostali vyše 800 podnetov, ktoré naznačujú, že tí ľudia dostali registračné bloky z de facto falošných pokladníc, ktoré sú mimo systému finančnej správy.";Pravda;"Je pravdou, že za dva týždne, teda od spustenia bločkovej lotérie, bolo nahlásených vyše 800 podnetov chybných blokov. Výrok hodnotíme ako pravdivý.Registrácia bločkov do Narodnej bločkovej lotérie (NBL) bola spustená 16. septembra 2013. Finančné riaditeľstvo Slovenskej republiky vo svojej tlač";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Včera (28. septembra 2013, pozn.) sme prekonali hranicu 6 miliónov bločkov, dnes ráno to bolo 6 miliónov 300.";Pravda;"30. septembra 2013 Tipos informoval, že počet zaregistrovaných bločkov je na úrovni približne sedem miliónov sto tisíc. Podľa tejto tlačovej správy práve 29. septembra 2013, v deň vysielania O5M12, bolo zaregistrovaných najviac bločkov až 915 tisíc. Z toho vyplýva, že 28. septembra resp. 29. septemb";Iné;;"Peter Kažimír";"SMER - sociálna demokracia"
"Priemerná mzda je cez 800 eur.";Pravda;"Štatistický úrad SR uvádza štatistiku priemernej mesačnej nominálnej mzdy zamestnanca hospodárstva SR v prvých dvoch kvartáloch 2013 a prvého polroka 2013. V prvom polroku 2013 bola priemerná mzda 804 eur. V druhom štvrťroku 2013 bola priemerná mzda 818 eur.  Výrok označujeme ako pravdivý.";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Do mzdy 67% priemernej mzdy v národnom hospodárstve, čo je dneska asi 500 alebo bude budúci rok asi 540 eur hrubej mzdy. Keby sme na to išli odpočítateľnou položkou do tejto úrovne, tak by sme prišli bohužiaľ podľa prepočtov rezortu financií o 3,3 miliardy eur.";Pravda;"Minister financií správne uvádza prepocet dopadu plošnej odpocítatelnej položky do výšky 67 % priemernej mzdy. Výrok preto hodnotíme ako pravdivý.Komentár Inštitútu financnej politiky (s. 3), zverejnený na oficiálnej webovej stránke Ministerstva financií potvrdzuje slová Kažimíra:''Plošné zníženie d";"Sociálna politika";;"Peter Kažimír";"SMER - sociálna demokracia"
"Skoro 250 000, štvrť milióna ľudí, ktorí sú dlhodobo nezamestnaní.";Pravda;"Údaj ktorý uvádza minister financií sedí s údajom ŠÚ SR, výrok preto hodotíme ako pravdivý.Štatistika ŠÚ SR po započítaní všetkých nezamestnaných, ktorí nepracujú viac ako rok, vykazuje údaj spolu 254,8 tisíc dlhodobo nezamestnaných. Nezamestnaní podľa dĺžky trvania nezamestnanosti a pohlavia v";"Sociálna politika";;"Peter Kažimír";"SMER - sociálna demokracia"
"Doriešili sme výpadok aj minulý rok. Veď sme mali výpadok (na daniach, pozn.) 700 miliónov a skončili sme lepšie ako vašich plánovaných 4,6 boli sme na 4,3.";Pravda;"Je pravdou, že v roku 2012 bol výpadok na daniach približne na úrovni 700 mil. eur. Je tiež pravdou, že rozpocet na rok 2012 plánoval deficit na úrovni 4,64 % HDP, ale skutocnost bola 4,35 % HDP. Výrok hodnotíme ako pravdivý.Podiel schodku verejnej správy Slovenskej republiky na hrubom domácom produ";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Ale tie výdavky tam významne nenarástli na mestách a obciach za posledných 5 rokov.";Pravda;"Z tlačovej správy ZMOS k podpísaniu memoranda o Konsolidácií financovania miest a obcí sa dá vyčítať vývoj bežných výdavkov obcí od roku 2008 (s. 4). Od roku 2008 do roku 2013 narástli bežné výdavky v priemere o 2,8 %. Toto číslo možno považovať za ""nie významný nárast"", zvlášť ak porovnáme ten";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Pozrite si augustové čísla vývoja štátneho rozpočtu, máme medziročne nižší deficit o trištvrte miliardy eur, výdavky skoro o 900 miliónov eur.";Pravda;"Je pravdou, že ak berieme do úvahy augustové čísla (k 31. augustu 2012 a 2013), ide o medziročný pokles výdavkov o približne 900 mil. eur a deficit nižší o 750 mil. eur. Výrok hodnotíme ako pravdivý.Rozpočet k 31. augustu 2013 dosiahol prijmi 6 973,9 mil. eur, pričom výdavky boli vo výške 8 890,5 mi";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Viete pán minister, však ste boli spolupredkladateľom tohto zákona, keď sa prekročí 55-percentná hranica, znamená to zmrazenie výdavkov.";Pravda;"Ivan Štefanec správne uvádza, že súčasný minister financií Kažimír, bol jedným z navrhovateľov zákona o rozpočtovej zodpovednosti. Štefanec tiež správne uvádza, že po prekročení hranice verejného dlhu 55 % HDP nastane obmedzenie výdavkov. V prípade prekročenia hranice dlhu 55 % HDP do";"Legislatívny proces a hlasovania";;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Valorizácia platov štátnej verejnej správy bola nulová od roku 2010.";Pravda;"Podobný výrok sme overovali už v minulosti (O5M12, 16. septembra 2013)Výrok hodnotíme ako pravdivý, pretože k 1. januáru 2010 skutočne prišlo k poslednej valorizácii platov zamestnancov štátnej správy o 1 % a odvtedy sa platy zmrazili. Zmrazovanie platov bolo zapracované vo Východisku rozpočtu verej";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Celá skupina ľudí, ktorí sú zamestnávaní štátom a samosprávou. Je ich 350 000. Zamestnanci školstva predstavujú skupinu asi 150 000 ľudí.";Pravda;"Peter Kažimír uvádza správne čísla o počte zamestnancov verejnej správy a počte zamestnancov v školstve. Výrok hodnotíme ako pravdivý.Rozpočet verejnej správy na roky 2013 až 2015 udáva (s. 44) počet zamestnancov verejnej správy na rok 2013 na úrovni 349 163, čo je približne 350 tisíc zamestnancov.&";"Sociálna politika";;"Peter Kažimír";"SMER - sociálna demokracia"
"Sme sa dozvedeli, že výkonnosť štátnych podnikov tento rok klesá a že sa to bude riešiť takzvanou superdividendou vo výške 445 miliónov eur.";Nepravda;"I. Štefanec neuvádza správne číslo superdividendy, ktorá sa má podľa návrhu rozpočtu 2014 - 2016 vyplatiť. Výrok preto hodnotíme ako nepravdivý. Návrh rozpočtu verejnej správy na roky 2014 až 2016 (s. 13) počíta s mimoriadnym príjmom v podobe tzv. superdividendy. Podľa návrhu ale ide";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Ústavný súd rozhodol o tom, že ten text (zvýšenie platov sestričiek, pozn.) toho zákona je protiústavný.";Pravda;"Je pravdou, že Ústavný súd v júni 2013 rozhodol, že zákon o minimálnych mzdových nárokoch sestier, nie je v súlade s Ústavou SR. Hlavným problémom bolo, že to ako zákon o minimálnych mzdových nárokoch sestier nastavil minimálnu mzdu, znevýhodňovalo iné profesie. Výrok hodnotíme ako pravdivý.TAS";Zdravotníctvo;;"Peter Kažimír";"SMER - sociálna demokracia"
"Mojim návrhom v parlamente prešla ešte 50-miliónová rezerva (na platy lekárov, pozn.), ináč by vám žiadny rozpočet neprešiel ani na rok 2012.";Pravda;"Demagog.SK overoval podobný výrok ministra financií Petra Kažimíra v relácií V politike (2.decembra 2012). Podobne ako vtedy, aj teraz hodnotíme výrok ako pravdivý.Zákon o štátnom rozpočte na rok 2012 bol prijatý 7. decembra 2011. Za návrh vtedy hlasovalo z prítomných 133 poslancov 75, proti bolo 54";Zdravotníctvo;;"Peter Kažimír";"SMER - sociálna demokracia"
"Lebo naozaj v rokoch 2011 a 2012 ich rozpočty (rozpočty samospráv, pozn.) boli o 200 miliónov horšie ako skutočnosť.";Nepravda;"Peter Kažimír hovorí o rozpočte samospráv (obcí), ktorý mal byť v rokoch 2011 a 2012 o 200 miliónov horší ako skutočnosť. Samosprávy mali mať podľa Kažimíra v rokoch 2011 a 2012 zdroje rozpočtované o 200 mil. eur viac ako v skutočnosti minuli. Inými slovami, samosprávy neminuli v rokoch 2011 a 2012";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Pred voľbami v roku 2010 ste tvrdili, že znížite daň (DPH, pozn.) na 16%, čo ste urobili? Zvýšili ste daň z pridanej hodnoty.";Zavádzajúce;"Pred voľbami v roku 2010 netvrdilo SDKÚ-DS alebo iné vtedy opozičné strany, že chcú znížiť sadzbu DPH na 16 %. V roku 2009 zazneli návrhy zo strany Mikloša a Sulíka o znížení DPH na 16 %. V roku 2010 však svoje návrhy neopakovali a nemali ich ani vo volebných programoch. Strana SaS vo volebnom progr";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Sme mali najnižší, historicky najnižší deficit v histórii v roku 2008.";Nepravda;"Podľa štatistik Eurostatu deficit štátneho rozpočtu bol historicky najnižší v roku 2007, nie v roku 2008, ako uvádza minister Kažimír. V roku 2008 bol druhý najnižší v histórii samostatnosti. Aj podľa údajov NBS (ŠÚ SR, MF SR, údaje od roku 1995) mala Slovenská republika historicky najnižš";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Sme zaviedli druhú sadzbu, zvýšenú sadzbu 25% pre ľudí s vyššími príjmami nad 3 300 eur.";Pravda;"Vláda SR 28. septembra 2012 schválila zvýšenie dane z príjmov z 19 % na 25 % pre zarábajúcich nad 3300 eur. Konkrétne ide o novelu zákona o dani z príjmov. Vláda R. Fica zvýšila sadzbu dane z prímu nielen pre fyzické osoby zarábajúce nad 3300 eur ale aj pre právnické osoby z 19 % na 23 %.Konkrétne i";Ekonomika;;"Peter Kažimír";"SMER - sociálna demokracia"
"Máme rekordný dlh.";Pravda;"Dlh Slovenska v prvom kvartáli 2013 je podľa Eurostat vystúpil až na úroveň 54,9%. Ide o rekordne najvyšší verejný dlh, čo ukazuje tabuľka historických údajov uvedená na stránkach Štatistického úradu SR. ";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Máme teraz vyššiu nezamestnanosť než pred rokom.";Pravda;"Je pravdou, že podľa dostupných relevantných údajov je nezamestnanosť medziročne vyššia. Výrok Ivana Štefanca hodnotíme ako pravdivý.Demagog.SK pri overovaní používa údaje Eurostat a taktiež časové rady Inštitútu finančnej politiky. IFP vedie sezónne očistenú evidovanú aj disponibilnú nezamestnanosť";"Sociálna politika";;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"V roku 2008 v tejto dani (daň z právnických osôb, pozn.) sme vyberali viac v štátnom rozpočte, dokonca v tomto čase o 100 miliónov eur, než dnes. Vtedy sme mali rovnú daň 19%-nú, dnes máme 23%-nú.";Pravda;"Výrok Ivana Štefanca hodnotíme ako pravdivý. Na dani z príjmov právnických osôb (PO) sa vybralo viac v roku 2008 v porovnaní s rovnakým obdobím roku 2013 o takmer 100 mil. eur. V roku 2008 bola daň z príjmu PO na úrovni 19 %. Od roka 2013 na úrovni 23 %.Porovnávame priebežné plnenie š";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Máme najvyššie dane firemné zo všetkých postkomunistických krajín.";Pravda;"Spomedzi všetkých postkomunistických krajín EÚ 28 má Slovensko najvyššiu daň z príjmu právnických osôb. Výrok I. Štefanca hodnotíme ako pravdivý.KrajinaDaň z POúdaje Eurostat (s. 3)Daň z POúdaje KPMGSlovensko23 %23 %Česká republika19 %19 %Poľsko19 %19 %Maďarsko20,6 %19 %Estónsko 21 %21 %Lo";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Tam chýba (daň z právnických osôb, pozn.) 272 miliónov podľa čísiel, ktoré teraz pán minister poslal do parlamentu.";Pravda;"Podľa septembrového komentára IFP (Tabuľka strana 7) je rozdiel medzi rozpočtovaným objemom finančných prostriedkov z dani z právnických osôb na rok 2013 a podľa IFP odhadovaným výberom dani z právnických osôb na rok 2013 na úrovni 272 mil. eur. Inými slovami, oproti rozpočtu 2013 sa odhaduje podľa";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
"Situácia, ktorá sa stala v roku 2009. Vtedy ten pokles bol na -5, to bol prvý vrchol krízy -5% HDP ekonomický záporný rast...";Pravda;"Údaje Eurostat potvrdzujú tvrdenie Ivana Štefanca, keď udávajú negatívny rast HDP Slovenska za rok 2009 na úrovni - 4,9% HDP, čo je približne - 5 % HDP. Výrok hodnotíme ako pravdivý.";Ekonomika;;"Ivan Štefanec";"Kresťanskodemokratické hnutie"
